,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps
69,10,278,165,113,23.04,160,90,70,21.53,46624,27288,41944,23632,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,466240.0,272880.0,419440.0,236320.0
70,11,284,172,112,22.76,172,91,81,21.59,46072,27096,44328,23664,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,460720.0,270960.0,443280.0,236640.0
71,12,283,162,121,22.62,169,94,75,21.88,48072,25560,44080,24312,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,480720.0,255600.0,440800.0,243120.0
72,13,279,173,106,23.09,167,87,80,22.03,48144,28088,44480,22656,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,481440.0,280880.0,444800.0,226560.0
73,14,284,172,112,22.79,162,90,72,22.36,45624,26032,43536,23512,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,456240.0,260320.0,435360.0,235120.0
74,15,287,168,119,22.05,157,89,68,21.13,47304,25336,41864,22736,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,473040.0,253360.0,418640.0,227360.0
75,16,281,161,120,22.77,165,94,71,21.12,43616,23904,43432,23656,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,436160.0,239040.0,434320.0,236560.0
76,17,281,158,123,22.7,164,86,78,21.52,41048,22256,44944,21752,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,410480.0,222560.0,449440.0,217520.0
77,18,277,161,116,22.96,158,89,69,21.3,41024,22944,42096,22272,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,410240.0,229440.0,420960.0,222720.0
78,19,279,159,120,22.98,169,88,81,21.79,43840,23528,45088,22544,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,438400.0,235280.0,450880.0,225440.0
79,20,287,168,119,22.48,166,87,79,21.89,45920,26064,44648,22288,2,1000000,51,10,3200,1000000,7.159999999999999e-05,1000000,459200.0,260640.0,446480.0,222880.0
